order_id,SKU,qty,x,y,ABC
124399,RAUDQ6,2,15,6,C
124399,RAUDQ6,1,15,6,C
124399,RAUDQ6,1,15,6,C
124399,TBCCF7,1,14,5,C
124399,TBCCF7,1,14,5,C
124399,TBCCF7,1,14,6,C
124399,J3FI7N,1,14,6,C
124399,J3FI7N,1,15,6,C
124399,J3FI7N,1,15,5,C
124399,J3FI7N,1,14,5,C
124399,1ENECA,1,15,5,C
124399,AKP0A7,2,14,6,C
124399,Q50W5L,1,15,5,C
124399,RAUDQ6,1,14,6,C
124399,J3FI7N,2,14,6,C
124399,1ENECA,1,14,6,C
124399,1ENECA,1,15,6,C
124399,AKP0A7,1,14,6,C
124399,AKP0A7,1,15,5,C
124399,Q50W5L,1,14,5,C
124399,AHR20O,1,15,5,C
124399,WRRW1W,3,14,5,C
124399,WRRW1W,2,14,6,C
124398,RAUDQ6,1,14,5,C
124397,RAUDQ6,1,14,5,C
124397,TNAHD4,1,14,5,C
124397,TNAHD4,1,14,5,C
124397,TNAHD4,1,14,5,C
124397,TNAHD4,2,14,5,C
124397,TNAHD4,1,14,6,C
124397,TNAHD4,1,14,6,C
124396,F7LULH,1,15,6,C
124395,XUZJ74,2,15,6,C
124395,XUZJ74,1,14,6,C
124395,W25EZN,1,14,6,C
124395,UHYJ3A,1,14,6,C
124395,LXJQVG,1,15,5,C
124395,WRRW1W,5,14,6,C
124395,TBCCF7,1,15,5,C
124395,TBCCF7,3,14,6,C
124395,TBCCF7,4,15,6,C
124395,TBCCF7,3,14,5,C
124395,TBCCF7,2,15,5,C
124395,J3FI7N,1,15,6,C
124395,J3FI7N,3,15,5,C
124395,NM6C73,1,14,6,C
124395,IJBSQT,1,14,6,C
124395,NISP6K,1,15,5,C
124395,UHYJ3A,1,14,5,C
124395,UHYJ3A,1,15,5,C
124395,FQ53YY,1,14,5,C
124395,O9YFO8,1,14,6,C
124395,8N10W9,1,14,5,C
124395,2T1DJM,1,14,5,C
124395,5HQR89,1,15,5,C
124395,W25EZN,2,14,6,C
124395,W25EZN,1,14,6,C
124395,W25EZN,1,15,6,C
124395,KTDZY0,1,15,5,C
124395,AKP0A7,1,15,6,C
124395,AKP0A7,1,15,6,C
124395,V7JUQL,2,15,6,C
124395,LXJQVG,3,15,6,C
124395,ZGYCSW,1,14,5,C
124395,ZGYCSW,1,15,6,C
124395,ZGYCSW,1,15,5,C
124395,WRRW1W,3,14,6,C
124395,FQ53YY,1,14,5,C
124394,NM6C73,1,14,5,C
124393,Y813MQ,1,14,5,C
124392,B24J86,1,15,5,C
124391,7BU1V7,1,15,5,C
124391,7BU1V7,1,14,6,C
124391,7BU1V7,1,14,6,C
124391,7BU1V7,1,15,6,C
124391,7BU1V7,1,14,5,C
124391,XUZJ74,1,15,5,C
124391,XUZJ74,1,14,6,C
124391,XUZJ74,1,15,5,C
124391,XUZJ74,2,15,5,C
124391,XUZJ74,2,15,6,C
124391,XUZJ74,2,15,5,C
124391,SMMRK3,1,15,6,C
124391,SMMRK3,1,15,5,C
124391,SMMRK3,2,14,5,C
124391,SMMRK3,2,15,5,C
124391,SMMRK3,2,14,5,C
124391,SMMRK3,1,15,6,C
124391,SMMRK3,1,15,6,C
124391,8N10W9,1,15,5,C
124391,8N10W9,1,15,5,C
124391,J3FI7N,1,15,5,C
124391,J3FI7N,1,14,6,C
124391,J3FI7N,1,14,5,C
124391,KTDZY0,1,15,5,C
124391,KTDZY0,1,15,5,C
124391,AKP0A7,1,14,6,C
124391,8D9SAW,1,15,6,C
124391,8D9SAW,1,15,6,C
124391,V7JUQL,1,14,5,C
124391,DGAONE,1,14,5,C
124391,Z8KPP8,1,15,6,C
124391,EUMBM7,1,14,6,C
124391,WRRW1W,1,15,5,C
124391,TNAHD4,1,15,6,C
124391,TNAHD4,1,15,5,C
124391,TNAHD4,1,15,5,C
124391,TNAHD4,1,14,6,C
124391,JEGRCL,1,15,5,C
124391,JEGRCL,1,15,5,C
124391,JEGRCL,1,14,6,C
124391,JEGRCL,1,14,6,C
124391,8N10W9,1,15,5,C
124391,8N10W9,1,15,6,C
124391,8N10W9,1,14,5,C
124391,RAUDQ6,1,15,6,C
124391,RAUDQ6,1,15,5,C
124391,J3FI7N,1,14,5,C
124391,J3FI7N,1,15,5,C
124391,J3FI7N,1,14,6,C
124391,AKP0A7,1,14,6,C
124391,AKP0A7,1,15,6,C
124391,AKP0A7,1,15,6,C
124391,8D9SAW,1,15,5,C
124391,8D9SAW,1,15,5,C
124391,EUMBM7,1,14,6,C
124391,I1KDJ0,1,15,6,C
124391,I1KDJ0,1,14,6,C
124391,WRRW1W,2,14,6,C
124391,WRRW1W,2,14,6,C
124391,TNAHD4,1,14,5,C
124391,TNAHD4,1,14,6,C
124391,JEGRCL,1,15,5,C
124391,J2URNJ,1,14,6,C
124391,8N10W9,1,15,6,C
124391,8N10W9,1,15,5,C
124391,RAUDQ6,1,15,5,C
124391,RAUDQ6,1,15,5,C
124391,J3FI7N,1,15,6,C
124391,J3FI7N,1,15,6,C
124391,AKP0A7,1,14,6,C
124391,AKP0A7,1,14,5,C
124391,AKP0A7,1,14,5,C
124391,8D9SAW,1,15,5,C
124391,V7JUQL,1,15,5,C
124391,EUMBM7,1,15,6,C
124391,EUMBM7,1,14,6,C
124391,EUMBM7,1,14,5,C
124391,EUMBM7,1,14,6,C
124391,EUMBM7,1,15,5,C
124391,WRRW1W,2,15,5,C
124391,WRRW1W,1,14,5,C
124391,WRRW1W,1,14,6,C
124391,TNAHD4,1,14,5,C
124391,TNAHD4,1,15,5,C
124391,UNPPMJ,1,14,5,C
124391,Y813MQ,1,15,5,C
124390,PP9DNA,1,14,5,C
124389,9KHDG3,1,15,5,C
124388,7BU1V7,1,14,5,C
124387,56TC1Z,1,14,5,C
124386,9S4AF8,1,14,6,C
124385,9S4AF8,1,15,6,C
124384,9S4AF8,1,14,6,C
124383,NM6C73,1,15,6,C
124382,Z8KPP8,1,14,5,C
124381,U95NWB,1,14,6,C
124380,CD1NU9,2,15,6,C
124380,CD1NU9,1,14,5,C
124380,CD1NU9,2,15,5,C
124380,CD1NU9,4,14,5,C
124380,CD1NU9,4,15,5,C
124380,CD1NU9,5,14,6,C
124379,WH1BJI,1,14,5,C
