order_id,SKU,qty,x,y
124395,O9YFO8,1,,
124395,8N10W9,1,,
124395,2T1DJM,1,,
124395,5HQR89,1,,
124395,W25EZN,2,,
124395,W25EZN,1,,
124395,W25EZN,1,,
124395,KTDZY0,1,,
124395,AKP0A7,1,,
124395,AKP0A7,1,,
124395,V7JUQL,2,,
124395,LXJQVG,3,,
124395,ZGYCSW,1,,
124395,ZGYCSW,1,,
124395,ZGYCSW,1,,
124395,WRRW1W,3,,
124395,FQ53YY,1,,
124394,NM6C73,1,,
124393,Y813MQ,1,,
124392,B24J86,1,,
124391,7BU1V7,1,,
124391,7BU1V7,1,,
124391,7BU1V7,1,,
124391,7BU1V7,1,,
124391,7BU1V7,1,,
124391,XUZJ74,1,,
124391,XUZJ74,1,,
124391,XUZJ74,1,,
124391,XUZJ74,2,,
124391,XUZJ74,2,,
124391,XUZJ74,2,,
124391,SMMRK3,1,,
124391,SMMRK3,1,,
124391,SMMRK3,2,,
124391,SMMRK3,2,,
124391,SMMRK3,2,,
124391,SMMRK3,1,,
124391,SMMRK3,1,,
124391,8N10W9,1,,
124391,8N10W9,1,,
124391,J3FI7N,1,,
124391,J3FI7N,1,,
124391,J3FI7N,1,,
124391,KTDZY0,1,,
124391,KTDZY0,1,,
124391,AKP0A7,1,,
124391,8D9SAW,1,,
124391,8D9SAW,1,,
124391,V7JUQL,1,,
124391,DGAONE,1,,
124391,Z8KPP8,1,,
124391,EUMBM7,1,,
124391,WRRW1W,1,,
124391,TNAHD4,1,,
124391,TNAHD4,1,,
124391,TNAHD4,1,,
124391,TNAHD4,1,,
124391,JEGRCL,1,,
124391,JEGRCL,1,,
124391,JEGRCL,1,,
124391,JEGRCL,1,,
124391,8N10W9,1,,
124391,8N10W9,1,,
124391,8N10W9,1,,
124391,RAUDQ6,1,,
124391,RAUDQ6,1,,
124391,J3FI7N,1,,
124391,J3FI7N,1,,
124391,J3FI7N,1,,
124391,AKP0A7,1,,
124391,AKP0A7,1,,
124391,AKP0A7,1,,
124391,8D9SAW,1,,
124391,8D9SAW,1,,
124391,EUMBM7,1,,
124391,I1KDJ0,1,,
124391,I1KDJ0,1,,
124391,WRRW1W,2,,
124391,WRRW1W,2,,
124391,TNAHD4,1,,
124391,TNAHD4,1,,
124391,JEGRCL,1,,
124391,J2URNJ,1,,
124391,8N10W9,1,,
124391,8N10W9,1,,
124391,RAUDQ6,1,,
124391,RAUDQ6,1,,
124391,J3FI7N,1,,
124391,J3FI7N,1,,
124391,AKP0A7,1,,
124391,AKP0A7,1,,
124391,AKP0A7,1,,
124391,8D9SAW,1,,
124391,V7JUQL,1,,
124391,EUMBM7,1,,
124391,EUMBM7,1,,
124391,EUMBM7,1,,
124391,EUMBM7,1,,
124391,EUMBM7,1,,
124391,WRRW1W,2,,
124391,WRRW1W,1,,
124391,WRRW1W,1,,
124391,TNAHD4,1,,
124391,TNAHD4,1,,
124391,UNPPMJ,1,,
124391,Y813MQ,1,,
124390,PP9DNA,1,,
124389,9KHDG3,1,,
124388,7BU1V7,1,,
124387,56TC1Z,1,,
124386,9S4AF8,1,,
124385,9S4AF8,1,,
124384,9S4AF8,1,,
124383,NM6C73,1,,
124382,Z8KPP8,1,,
124381,U95NWB,1,,
124380,CD1NU9,2,,
124380,CD1NU9,1,,
124380,CD1NU9,2,,
124380,CD1NU9,4,,
124380,CD1NU9,4,,
124380,CD1NU9,5,,
124379,WH1BJI,1,,
124379,WH1BJI,3,,
124379,WH1BJI,3,,
124379,WH1BJI,1,,
124379,WH1BJI,2,,
124379,WGHG3L,1,,
124379,I1KDJ0,3,,
124379,I1KDJ0,4,,
124378,KTDZY0,1,,
124378,32ZKOX,1,,
124378,UNPPMJ,1,,
124377,9KHDG3,1,,
124376,9KHDG3,1,,
124375,Z8KPP8,1,,
124374,8N10W9,1,,
124374,8N10W9,2,,
124374,8N10W9,2,,
124374,2T1DJM,1,,
124374,2T1DJM,1,,
124374,2T1DJM,1,,
124374,8N10W9,1,,
124374,8N10W9,2,,
124374,8N10W9,2,,
124374,8N10W9,2,,
124374,8N10W9,1,,
124374,8N10W9,1,,
124374,2T1DJM,1,,
124374,2T1DJM,1,,
124374,2T1DJM,1,,
124374,2T1DJM,1,,
124373,7BU1V7,1,,
124373,XUZJ74,1,,
124373,XUZJ74,1,,
124373,XUZJ74,1,,
124373,SMMRK3,1,,
124373,SMMRK3,1,,
124373,SMMRK3,1,,
124373,SMMRK3,1,,
124373,SMMRK3,1,,
124373,8N10W9,2,,
124373,8N10W9,7,,
124372,RUUOCB,1,,
124371,K3YA1X,1,,
124371,K3YA1X,1,,
124371,K3YA1X,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124370,8N10W9,1,,
124369,WH1BJI,1,,
124369,WH1BJI,1,,
124369,2OAVPY,1,,
124369,2OAVPY,1,,
124369,2OAVPY,1,,
124369,8N10W9,4,,
124369,8N10W9,3,,
124369,8N10W9,3,,
124369,8N10W9,2,,
124369,8N10W9,2,,
124369,ZRCYSH,1,,
124369,ZRCYSH,1,,
124369,ZRCYSH,1,,
124369,ZRCYSH,2,,
124369,ZRCYSH,1,,
124369,TNAHD4,1,,
124369,JEGRCL,3,,
124369,8N10W9,1,,
124369,8N10W9,1,,
124369,8N10W9,1,,
124369,8N10W9,1,,
124368,SMMRK3,1,,
124368,8N10W9,1,,
124368,8N10W9,1,,
124368,8N10W9,1,,
124368,8N10W9,1,,
124368,2T1DJM,1,,
124368,56TC1Z,1,,
124368,NJVZEL,1,,
124368,IA7X1P,1,,
124368,W25EZN,1,,
124368,KTDZY0,1,,
124368,AKP0A7,1,,
124368,AKP0A7,1,,
124368,AKP0A7,1,,
124368,AKP0A7,2,,
124368,Z8KPP8,1,,
124368,WGHG3L,1,,
124368,WRRW1W,1,,
124368,JEGRCL,1,,
124368,8N10W9,1,,
124368,8N10W9,1,,
124368,2T1DJM,1,,
124368,NJVZEL,1,,
124368,W25EZN,1,,
124368,W25EZN,1,,
124368,WRRW1W,1,,
124367,E5CISL,1,,
124367,E5CISL,1,,
124366,XUZJ74,1,,
124366,AKP0A7,1,,
124366,800OVF,1,,
124365,CU53FM,1,,
124365,CU53FM,1,,
124364,7BU1V7,2,,
124364,XUZJ74,1,,
124364,8N10W9,1,,
124364,2T1DJM,1,,
124363,Q50W5L,1,,
124363,V7JUQL,1,,
124362,XUZJ74,1,,
124362,SMMRK3,2,,
124362,XUZJ74,1,,
124362,SMMRK3,1,,
124362,SMMRK3,1,,
124362,8N10W9,1,,
124362,8N10W9,1,,
124362,8N10W9,1,,
124362,8N10W9,1,,
124362,8N10W9,1,,
124362,2T1DJM,1,,
124362,2T1DJM,1,,
124362,2T1DJM,1,,
124362,ZRCYSH,2,,
124362,37VA62,1,,
124361,37VA62,1,,
